quiz_question_id,quiz_id,question_no,question,option_a,option_b,option_c,option_d,correct_ans,level,type,redirect_to,question_image,question_icon,msg_ans_correct,msg_ans_wrong,status,created_by,created_at,updated_by,updated_at,ar_image_ans_correct,ar_video_ans_correct,accimg_ans_correct,ar_image_ans_wrong,ar_video_ans_wrong,accimg_ans_wrong
50,5,10,"Which problem solving step is missing from this image?","Spread Awareness","Make & Test","Made many prototypes","Explored the problem","Explored the problem",HARD,MRQ,0,https://student-quiz-images.s3.ap-south-1.amazonaws.com/en/5_10.png,,"Great! The problem solving journey has many steps. Taking one step at a time helps you to get to the final solution. ","That's not right. The right answer is Option D. Once you find a problem to solve, you need to explore the problem to understand it better before you solve it.   ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
121,8,1,"Why is it important for young children to learn skills necessary for problem-solving? ( Tick all that are true)","The world needs Change-makers","It helps them become more responsible citizens","It will help them get marks in their exam","It inspires them to solve problems faced by themsleves","The world needs Change-makers{{}}It helps them become more responsible citizens{{}}It inspires them to solve problems faced by themsleves",HARD,MCQ,0,,,"The right answer is Option A,B and D. You can read more about the program in the Handbook. ","The right answer is Option A,B and D. You can read more about the program in the Handbook. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
122,8,2,"In which of the following ways can a Handbook be helpful? ( Tick all that are true)","For teacher to learn about / revise the concepts","To plan for scheduling the program for the student teams","To plan for support to be given for the student teams during the course","For students to learn about/revise the concepts","For teacher to learn about / revise the concepts{{}}To plan for scheduling the program for the student teams{{}}To plan for support to be given for the student teams during the course",HARD,MCQ,0,,,"The right answer is Option A, B and C. The purpose of the Handbook is to support the teachers in implementing the program. 
","The right answer is Option A, B and C. The purpose of the Handbook is to support the teachers in implementing the program. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
123,8,3,"Which of the following actions are you expected to do in your role as a mentor? ( Tick all that are true)","Plan for weekly sessions to watch the video and discuss concepts and related workbook","Conduct tests and rank the student teams in your school","Support them by helping them with digital access printing the workbook etc","Provide students with necessary permissions and support during the community visits","Plan for weekly sessions to watch the video and discuss concepts and related workbook{{}}Support them by helping them with digital access printing the workbook etc{{}}Provide students with necessary permissions and support during the community visits",HARD,MCQ,0,,,"The right answer is Option A,C and D. Clearly understand the best practices as a teacher in the program as detailed in the Handbook for providing best support to your students. ","The right answer is Option A,C and D. Clearly understand the best practices as a teacher in the program as detailed in the Handbook for providing best support to your students. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
124,8,4,"Which of the following actions are you NOT supposed to do as a mentor to your students?","Select the best students in your school for the course","Provide them with problems to select from","Complete the workbook on their behalf","Guide them when they ask for support","Select the best students in your school for the course{{}}Provide them with problems to select from{{}}Complete the workbook on their behalf",HARD,MCQ,0,,,"The right answer is Option A,B and C. Refer to the Best Practices in the Handbook to clearly understand your role in the program. Refer to the the Handbook for providing best support to your students. ","The right answer is Option A,B and C. Refer to the Best Practices in the Handbook to clearly understand your role in the program. Refer to the the Handbook for providing best support to your students. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
125,8,5,"When are the student teams required to complete the workbook?","Before the video","After watching the video in the weekly sessions","After the whole course","Along with the Quiz","After watching the video in the weekly sessions",HARD,MRQ,0,,,"The right answer is Option B. For better understanding, once they watch the videos in a session, you should discuss the related workbook so they can do it duirng following days.","The right answer is Option B. For better understanding, once they watch the videos in a session, you should discuss the related workbook so they can do it duirng following days.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
126,8,6,"When are you supposed to do checks for understanding of concepts that students are learning as a part of the course?","During the weekly sessions while discussing the videos and workbook","After the entire course","After the Module Quiz","After they do the workbook","During the weekly sessions while discussing the videos and workbook",HARD,MRQ,0,,,"The right answer is Option A. Check for understandings are important before they start doing the workbook so they know what they are supposed to do. ","The right answer is Option A. Check for understandings are important before they start doing the workbook so they know what they are supposed to do. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
127,8,7,"Which of the following course components can be done by the student teams ? ( Tick all that are true)",Discussions,Workbook,Quiz,Video,Discussions{{}}Workbook{{}}Video,HARD,MCQ,0,,,"The right answer is Option A, B and D. The workbook and discussions have to be done as a team. Videos can also be watched as a team. However the Quiz has to be done individually by the students.","The right answer is Option A, B and D. The workbook and discussions have to be done as a team. Videos can also be watched as a team. However the Quiz has to be done individually by the students.",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
128,8,8,"What is an Innovation?","Any new product that uses technology","Already existing solutions","Any organization that helps the poor in the society","Any new or better idea that can help make peoples lives better","Any new or better idea that can help make peoples lives better",HARD,MRQ,0,,,"The right answer is Option D. Innovations can make the lives of many people better drastically. ","The right answer is Option D. Innovations can make the lives of many people better drastically. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
129,8,9,"Arrange the following steps in order of their occurence in a problem-solving Journey:
a) Prepare a first prototype of your solution
b) Find a problem 
c) Brainstorm ideas for solutions
d) Explore the cause of the chosen problem
e) Take feedback from users and iterate the prototype solution.",b-d-c-a-e,a-b-d-e-c,d-e-c-a-b,c-e-d-a-b,b-d-c-a-e,HARD,MRQ,0,,,"The right answer is Option A. Following the steps is important to solve a problem effeiciently. You can read more about them in handbook under Module 3 : Explore. ","The right answer is Option A. Following the steps is important to solve a problem effeiciently. You can read more about them in handbook under Module 3 : Explore. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
130,8,10,"PEAK stands for Preference, Effect, Achievablity, Knowledge and FUSE stands for Feasibility, Usefulness, Sustainability and Effectiveness. What are these two used for ?","PEAK - Used to select a solution 
FUSE - Used to select a problem","PEAK - Used to select stakeholders 
FUSE - Used to select a problem","PEAK - Used to select a problem
FUSE - Used to select a solution","PEAK - Used to select resources
FUSE - Used to select solutions","PEAK - Used to select a problem
FUSE - Used to select a solution",HARD,MRQ,0,,,"The right answer is Option C. The criterions can help is shorlisting porblems and solutions rationally based on different factors. ","The right answer is Option C. The criterions can help is shorlisting porblems and solutions rationally based on different factors. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
131,8,11,"Who are considered as stakeholders to a problem?","All the people who want to solve the problem","All the people who cause the problem","All the people who are related to the problem in different ways","All the people who have already solved the problem","All the people who are related to the problem in different ways",HARD,MRQ,0,,,"The right answer is Option C. Stakeholders are related in the problem in different ways and all of them are important. ","The right answer is Option C. Stakeholders are related in the problem in different ways and all of them are important. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
132,8,12,"Which of the following techniques are used to explore the cause of an identified problem deeper? ( Tick all that are true)",Storyboarding,"Why's technique",Mind-Map,What-if,"Why's technique{{}}Mind-Map",HARD,MCQ,0,,,"The right answer is Options B abd C. Getting to the root cause and understanding the problem is important to solve a problem completely","The right answer is Options B abd C. Getting to the root cause and understanding the problem is important to solve a problem completely",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
133,8,13,"Look at this problem : 'Students not keeping their shoes in order outside the computer lab'. The suggested solution is : ' Having instructions and points
 for students who arrange their footwear'. Is this a process-based solution or a product based solution?","Product based solution","Process-based solution","Both product and process based solution","None of them","Process-based solution",HARD,MRQ,0,,,"The right answer is Option B. A product solution focuses on a new object that you create and a process based solution focuses on instructions or steps. Both are types of solution. ","The right answer is Option B. A product solution focuses on a new object that you create and a process based solution focuses on instructions or steps. Both are types of solution. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
134,8,14,"Which of the following ideation techniques involve thinking like a user/ stakeholder to be able to think of ideas?","Open Storming","Worst Idea - Best Idea","Role Storming","What if","Role Storming",HARD,MRQ,0,,,"The right answer is Opiton C. Brinstorming by taking on a role is called role-storming. You can read more about the ideation techniques in the handbook under the course brief of Module 5: Give Ideas. ","The right answer is Opiton C. Brinstorming by taking on a role is called role-storming. You can read more about the ideation techniques in the handbook under the course brief of Module 5: Give Ideas. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
135,8,15,"Which of the following steps is a part of prototyping and resourcing","Finding problems","Planning for resources to make your solutions","Making a problem tree","Interviewing people","Planning for resources to make your solutions",HARD,MRQ,0,,,"The right answer is Option B. To make your protoype you have to plan for resources and decide how to get them. This is called resourcing. You can find more information about it in the handbook under Module 6: Make & Test. ","The right answer is Option B. To make your protoype you have to plan for resources and decide how to get them. This is called resourcing. You can find more information about it in the handbook under Module 6: Make & Test. ",ACTIVE,0,"0000-00-00 00:00:00",0,"0000-00-00 00:00:00",,,,,,
